tornadoNumber,year,month,day,fullDate,time,timeZone,state,stateFIPS,stateNumber,fScale,injuries,fatalities,propertyLoss,cropLoss,startLat,startLon,endLat,endLon,lengthMiles,widthYards,numberOfStates,stateTrack,tornadoSegment,countyFirst,countySecond,countyThird,countyFourth,estFscale
352,1957,5,20,5/20/1957,11:00:00,3,CO,8,3,0,0,0,2,0,39.25,-102.4,39.9,-101.78,70.1,10,2,0,1,0,0,0,0,0
496,1978,6,26,6/26/1978,21:00:00,3,CO,8,10,1,0,0,4,0,37.47,-102.2,37.37,-101.8,22.9,67,2,0,1,0,0,0,0,0
520,1994,6,10,6/10/1994,16:05:00,3,CO,8,16,1,0,0,0,0,39.77,-102.07,39.77,-102.02,1.5,200,2,0,1,0,0,0,0,0
218,2007,3,28,3/28/2007,20:40:00,3,CO,8,6,1,0,0,0.002,0,38.46,-102.05,38.68,-102.02,11.62,440,2,0,1,0,0,0,0,0
374,1953,8,17,8/17/1953,15:30:00,3,CO,8,10,1,0,0,1,0,39.8,-104.5,39.8,-104.38,5.7,100,1,1,1,Adams,0,0,0,0
132,1954,4,25,4/25/1954,13:00:00,3,CO,8,4,1,0,0,2,0,39.98,-104.82,0,0,0.1,17,1,1,1,Adams,0,0,0,1
441,1954,7,28,7/28/1954,16:00:00,3,CO,8,8,1,0,0,3,0,39.82,-104.1,0,0,0.1,10,1,1,1,Adams,0,0,0,0
457,1955,7,2,7/2/1955,21:00:00,3,CO,8,14,1,0,0,2,0,39.98,-104.53,0,0,0.1,10,1,1,1,Adams,0,0,0,1
319,1959,5,29,5/29/1959,17:00:00,3,CO,8,1,2,0,0,4,0,39.88,-104.3,0,0,2,33,1,1,1,Adams,0,0,0,0
258,1962,5,27,5/27/1962,16:00:00,3,CO,8,6,0,0,0,1,0,39.98,-104.07,0,0,0.1,10,1,1,1,Adams,0,0,0,0
412,1966,7,21,7/21/1966,18:14:00,3,CO,8,6,0,0,0,0,0,39.8,-104.3,0,0,0.1,10,1,1,1,Adams,5,0,0,0
337,1967,5,30,5/30/1967,16:00:00,3,CO,8,3,1,0,0,3,0,39.8,-104.97,0,0,0.5,17,1,1,1,Adams,0,0,0,0
404,1967,6,9,6/9/1967,12:56:00,3,CO,8,9,0,0,0,5,0,39.77,-104.82,0,0,0.1,10,1,1,1,Adams,0,0,0,0
585,1967,7,3,7/3/1967,20:40:00,3,CO,8,17,0,0,0,0,0,39.8,-105.15,0,0,0.1,10,1,1,1,Adams,0,0,0,0
573,1971,6,25,6/25/1971,21:20:00,3,CO,8,9,0,0,0,0,0,39.98,-102.82,0,0,0.1,10,1,1,1,Adams,0,0,0,0
396,1975,5,18,5/18/1975,13:55:00,3,CO,8,9,3,0,0,0,0,39.8,-104.73,39.85,-104.68,4.1,440,1,1,1,Adams,0,0,0,0
477,1976,5,30,5/30/1976,13:40:00,3,CO,8,20,2,0,0,5,0,39.8,-104.88,39.83,-104.78,5.4,67,1,1,1,Adams,0,0,0,0
511,1976,6,4,6/4/1976,15:45:00,3,CO,8,27,0,0,0,0,0,39.98,-104.93,0,0,0.1,20,1,1,1,Adams,0,0,0,0
512,1976,6,4,6/4/1976,16:05:00,3,CO,8,28,0,0,0,0,0,39.83,-105.05,0,0,0.1,20,1,1,1,Adams,0,0,0,0
516,1976,6,4,6/4/1976,17:22:00,3,CO,8,32,0,0,0,0,0,40,-105.08,0,0,0.1,20,1,1,1,Adams,0,0,0,0
807,1976,9,14,9/14/1976,14:20:00,3,CO,8,40,0,0,0,0,0,39.77,-104.68,0,0,0.1,33,1,1,1,Adams,0,0,0,0
808,1976,9,14,9/14/1976,14:20:00,3,CO,8,41,0,0,0,0,0,39.77,-104.72,0,0,0.1,33,1,1,1,Adams,0,0,0,0
809,1976,9,14,9/14/1976,14:20:00,3,CO,8,42,0,0,0,0,0,39.77,-104.7,0,0,0.1,33,1,1,1,Adams,0,0,0,0
680,1977,8,14,8/14/1977,15:38:00,3,CO,8,29,1,0,0,0,0,39.78,-104.33,0,0,1,60,1,1,1,Adams,0,0,0,0
681,1977,8,14,8/14/1977,15:45:00,3,CO,8,30,1,0,0,0,0,39.78,-104.33,0,0,1,60,1,1,1,Adams,0,0,0,0
682,1977,8,14,8/14/1977,15:45:00,3,CO,8,31,1,1,0,5,0,39.78,-104.33,0,0,1,60,1,1,1,Adams,0,0,0,0
274,1978,5,17,5/17/1978,14:20:00,3,CO,8,2,2,0,0,5,0,39.63,-104.75,0,0,0.5,33,1,1,1,Adams,0,0,0,0
475,1979,7,6,7/6/1979,15:00:00,3,CO,8,17,0,0,0,0,0,39.75,-104.43,0,0,0.3,20,1,1,1,Adams,0,0,0,0
685,1980,7,18,7/18/1980,22:15:00,3,CO,8,20,1,0,0,0,0,39.98,-104.05,0,0,2,30,1,1,1,Adams,0,0,0,0
342,1981,6,2,6/2/1981,19:40:00,3,CO,8,6,1,0,0,0,0,39.87,-104.78,0,0,0.5,50,1,1,1,Adams,0,0,0,0
350,1981,6,3,6/3/1981,14:55:00,3,CO,8,8,2,42,0,7,0,39.87,-104.98,0,0,2.3,133,1,1,1,Adams,0,0,0,0
532,1982,5,29,5/29/1982,15:24:00,3,CO,8,7,1,0,0,0,0,39.75,-104.6,0,0,0.5,50,1,1,1,Adams,0,0,0,0
564,1982,6,2,6/2/1982,16:36:00,3,CO,8,10,1,0,0,1,0,39.83,-104.23,0,0,1,100,1,1,1,Adams,0,0,0,0
565,1982,6,2,6/2/1982,16:45:00,3,CO,8,11,1,0,0,1,0,39.78,-104.25,0,0,0.5,100,1,1,1,Adams,0,0,0,0
632,1982,6,12,6/12/1982,16:17:00,3,CO,8,17,0,0,0,1,0,39.87,-104.57,0,0,1,200,1,1,1,Adams,0,0,0,0
633,1982,6,12,6/12/1982,16:18:00,3,CO,8,18,3,0,0,3,0,39.82,-104.53,39.88,-104.53,3,400,1,1,1,Adams,0,0,0,0
634,1982,6,12,6/12/1982,16:22:00,3,CO,8,19,1,0,0,1,0,39.78,-104.5,0,0,1,100,1,1,1,Adams,0,0,0,0
721,1982,6,23,6/23/1982,17:25:00,3,CO,8,31,1,0,0,1,0,39.8,-104.3,0,0,1,150,1,1,1,Adams,0,0,0,0
788,1982,7,9,7/9/1982,13:10:00,3,CO,8,43,1,0,0,1,0,39.97,-104.63,0,0,0.5,50,1,1,1,Adams,0,0,0,0
503,1983,6,12,6/12/1983,13:39:00,3,CO,8,16,1,0,0,1,0,39.88,-104.7,0,0,0.3,20,1,1,1,Adams,0,0,0,0
397,1984,5,14,5/14/1984,14:23:00,3,CO,8,4,1,0,0,3,0,39.77,-104.62,39.83,-104.53,5,77,1,1,1,Adams,0,0,0,0
447,1984,6,3,6/3/1984,13:08:00,3,CO,8,13,1,0,0,0,0,39.73,-104.85,0,0,2,100,1,1,1,Adams,0,0,0,0
710,1984,7,6,7/6/1984,14:44:00,3,CO,8,30,1,0,0,0,0,39.9,-104.57,0,0,1,50,1,1,1,Adams,0,0,0,0
486,1985,7,26,7/26/1985,18:08:00,3,CO,8,22,1,0,0,0,0,39.9,-104.43,0,0,0.5,30,1,1,1,Adams,0,0,0,0
394,1986,6,8,6/8/1986,17:15:00,3,CO,8,8,2,0,0,0,0,39.83,-104.6,0,0,2,100,1,1,1,Adams,0,0,0,0
395,1986,6,8,6/8/1986,17:20:00,3,CO,8,9,1,0,0,0,0,39.83,-104.6,0,0,2,100,1,1,1,Adams,0,0,0,0
396,1986,6,8,6/8/1986,17:20:00,3,CO,8,10,1,0,0,0,0,39.83,-104.6,0,0,2,100,1,1,1,Adams,0,0,0,0
242,1987,6,9,6/9/1987,17:10:00,3,CO,8,4,1,0,0,0,0,39.75,-104.48,0,0,2,50,1,1,1,Adams,0,0,0,0
279,1987,6,20,6/20/1987,15:25:00,3,CO,8,12,2,0,0,0,0,39.77,-104.62,0,0,1,30,1,1,1,Adams,0,0,0,0
280,1987,6,20,6/20/1987,15:30:00,3,CO,8,13,1,0,0,0,0,39.92,-104.73,0,0,1,30,1,1,1,Adams,0,0,0,0
339,1987,6,30,6/30/1987,16:33:00,3,CO,8,25,1,0,0,0,0,39.75,-104.6,0,0,0.8,30,1,1,1,Adams,0,0,0,0
348,1987,7,2,7/2/1987,15:27:00,3,CO,8,26,2,0,0,3,0,39.88,-104.73,0,0,1,250,1,1,1,Adams,0,0,0,0
349,1987,7,2,7/2/1987,15:35:00,3,CO,8,27,1,0,0,0,0,39.88,-104.73,0,0,0.2,30,1,1,1,Adams,0,0,0,0
353,1987,7,4,7/4/1987,17:00:00,3,CO,8,28,1,0,0,0,0,39.83,-104.5,0,0,0.8,30,1,1,1,Adams,0,0,0,0
406,1987,7,8,7/8/1987,18:47:00,3,CO,8,38,1,0,0,0,0,39.75,-104.43,0,0,0.2,20,1,1,1,Adams,0,0,0,0
449,1987,7,17,7/17/1987,18:05:00,3,CO,8,39,1,0,0,0,0,39.78,-104.55,0,0,0.3,20,1,1,1,Adams,0,0,0,0
93,1988,4,21,4/21/1988,16:35:00,3,CO,8,2,0,0,0,0,0,39.92,-105,0,0,0.2,30,1,1,1,Adams,0,0,0,0
245,1988,6,5,6/5/1988,16:05:00,3,CO,8,13,2,0,0,5,0,40,-104.97,40.03,-104.97,2,50,1,1,1,Adams,123,0,0,0
250,1988,6,8,6/8/1988,19:05:00,3,CO,8,15,1,0,0,0,0,39.93,-104.67,0,0,1.5,30,1,1,1,Adams,0,0,0,0
251,1988,6,8,6/8/1988,19:24:00,3,CO,8,16,1,0,0,0,0,39.85,-104.78,0,0,0.5,30,1,1,1,Adams,0,0,0,0
264,1988,6,13,6/13/1988,15:22:00,3,CO,8,19,1,0,0,0,0,39.72,-104.3,0,0,0.2,30,1,1,1,Adams,0,0,0,0
271,1988,6,15,6/15/1988,17:03:00,3,CO,8,21,1,0,0,3,0,39.88,-104.73,0,0,2,100,1,1,1,Adams,0,0,0,0
274,1988,6,15,6/15/1988,17:30:00,3,CO,8,24,1,0,0,0,0,39.98,-104.8,0,0,1,100,1,1,1,Adams,0,0,0,0
287,1988,6,22,6/22/1988,17:30:00,3,CO,8,26,1,0,0,0,0,39.98,-104.8,0,0,0.5,40,1,1,1,Adams,0,0,0,0
290,1988,6,25,6/25/1988,13:55:00,3,CO,8,28,1,0,0,0,0,39.93,-104.68,0,0,0.5,40,1,1,1,Adams,0,0,0,0
289,1988,6,25,6/25/1988,14:35:00,3,CO,8,27,1,0,0,0,0,39.73,-104.6,0,0,0.5,30,1,1,1,Adams,0,0,0,0
294,1988,6,26,6/26/1988,14:37:00,3,CO,8,30,1,0,0,0,0,39.78,-104.6,0,0,1,30,1,1,1,Adams,0,0,0,0
331,1988,7,8,7/8/1988,16:01:00,3,CO,8,33,0,0,0,0,0,39.93,-103.93,0,0,0.5,13,1,1,1,Adams,0,0,0,0
339,1988,7,8,7/8/1988,17:45:00,3,CO,8,40,1,0,0,0,0,39.78,-104.55,39.77,-104.45,4.5,30,1,1,1,Adams,0,0,0,0
332,1988,7,8,7/8/1988,18:00:00,3,CO,8,34,0,0,0,0,0,39.87,-104.28,0,0,1,20,1,1,1,Adams,0,0,0,0
333,1988,7,8,7/8/1988,18:15:00,3,CO,8,35,1,0,0,0,0,39.85,-104.32,0,0,1.5,30,1,1,1,Adams,0,0,0,0
334,1988,7,8,7/8/1988,18:17:00,3,CO,8,36,1,0,0,0,0,39.72,-104.3,0,0,0.5,30,1,1,1,Adams,0,0,0,0
342,1988,7,9,7/9/1988,21:11:00,3,CO,8,41,1,0,0,0,0,39.75,-104.55,0,0,1,30,1,1,1,Adams,0,0,0,0
606,1989,6,25,6/25/1989,17:30:00,3,CO,8,14,1,0,0,0,0,39.97,-104.3,0,0,0.2,23,1,1,1,Adams,0,0,0,0
464,1990,5,29,5/29/1990,13:35:00,3,CO,8,6,1,0,0,5,0,39.9,-104.97,0,0,1.1,50,1,1,1,Adams,0,0,0,0
512,1990,6,1,6/1/1990,18:25:00,3,CO,8,8,0,0,0,0,0,39.98,-104.88,0,0,0.1,13,1,1,1,Adams,0,0,0,0
627,1990,6,7,6/7/1990,19:00:00,3,CO,8,21,0,0,0,0,0,39.87,-104.75,0,0,0.1,20,1,1,1,Adams,0,0,0,0
832,1990,6,30,6/30/1990,17:50:00,3,CO,8,39,0,0,0,0,0,39.85,-104.78,0,0,0.1,20,1,1,1,Adams,0,0,0,0
868,1990,7,9,7/9/1990,20:00:00,3,CO,8,43,0,0,0,0,0,39.8,-104.92,0,0,0.3,20,1,1,1,Adams,0,0,0,0
651,1991,5,24,5/24/1991,15:17:00,3,CO,8,27,0,0,0,0,0,39.83,-104.07,0,0,0.2,10,1,1,1,Adams,0,0,0,0
798,1991,6,6,6/6/1991,16:33:00,3,CO,8,43,0,0,0,0,0,39.9,-104.72,0,0,1,50,1,1,1,Adams,0,0,0,0
1060,1991,8,22,8/22/1991,15:40:00,3,CO,8,76,0,0,0,0,0,39.8,-104.92,0,0,0.1,10,1,1,1,Adams,0,0,0,0
371,1992,6,13,6/13/1992,19:26:00,3,CO,8,21,0,0,0,0,0,39.95,-104.25,0,0,0.1,10,1,1,1,Adams,0,0,0,0
581,1992,6,20,6/20/1992,17:45:00,3,CO,8,39,0,0,0,0,0,39.92,-104.6,0,0,0.1,10,1,1,1,Adams,0,0,0,0
582,1992,6,20,6/20/1992,17:48:00,3,CO,8,40,0,0,0,0,0,39.98,-104.8,0,0,0.1,10,1,1,1,Adams,0,0,0,0
584,1992,6,20,6/20/1992,17:56:00,3,CO,8,42,0,0,0,0,0,39.92,-104.73,0,0,1,50,1,1,1,Adams,0,0,0,0
585,1992,6,20,6/20/1992,17:59:00,3,CO,8,43,0,0,0,0,0,39.98,-104.77,0,0,0.5,50,1,1,1,Adams,0,0,0,0
586,1992,6,20,6/20/1992,18:14:00,3,CO,8,44,0,0,0,0,0,39.95,-104.77,0,0,0.8,23,1,1,1,Adams,0,0,0,0
579,1992,6,20,6/20/1992,18:15:00,3,CO,8,37,0,0,0,0,0,39.98,-104.75,0,0,0.1,10,1,1,1,Adams,0,0,0,0
596,1992,6,21,6/21/1992,16:51:00,3,CO,8,50,0,0,0,0,0,39.67,-104.3,0,0,0.1,10,1,1,1,Adams,0,0,0,0
902,1992,8,1,8/1/1992,18:06:00,3,CO,8,72,0,0,0,0,0,39.75,-104.43,0,0,0.5,50,1,1,1,Adams,0,0,0,0
939,1992,8,17,8/17/1992,20:01:00,3,CO,8,75,0,0,0,0,0,39.78,-104.33,0,0,0.1,10,1,1,1,Adams,0,0,0,0
1079,1992,9,17,9/17/1992,20:00:00,3,CO,8,79,0,0,0,0,0,39.75,-104.38,0,0,0.1,10,1,1,1,Adams,0,0,0,0
769,1993,7,9,7/9/1993,14:15:00,3,CO,8,21,0,0,0,0,0,39.77,-104.85,0,0,0.1,10,1,1,1,Adams,0,0,0,0
791,1993,7,12,7/12/1993,13:43:00,3,CO,8,32,0,0,0,0,0,39.72,-104.3,0,0,0.1,10,1,1,1,Adams,0,0,0,0
743,1994,7,11,7/11/1994,20:00:00,3,CO,8,22,0,0,0,0,0,39.93,-104.07,0,0,0.1,10,1,1,1,Adams,0,0,0,0
745,1994,7,12,7/12/1994,16:59:00,3,CO,8,23,0,0,0,0,0,39.95,-104.07,0,0,0.1,10,1,1,1,Adams,0,0,0,0
769,1994,7,16,7/16/1994,18:10:00,3,CO,8,35,0,0,0,0,0,39.93,-104.07,39.92,-103.95,6,440,1,1,1,Adams,0,0,0,0
770,1994,7,16,7/16/1994,18:34:00,3,CO,8,36,0,0,0,0,0,39.78,-104.02,39.72,-104.08,4,880,1,1,1,Adams,0,0,0,0
509,1995,5,19,5/19/1995,17:10:00,3,CO,8,9,0,0,0,0,0,39.87,-104.58,0,0,0.1,10,1,1,1,Adams,0,0,0,0
639,1995,6,3,6/3/1995,18:10:00,3,CO,8,15,0,0,0,0,0,39.8,-104.3,0,0,0.5,200,1,1,1,Adams,0,0,0,0
689,1995,6,6,6/6/1995,19:11:00,3,CO,8,19,0,0,0,0,0,39.85,-105.03,0,0,0.1,10,1,1,1,Adams,0,0,0,0
919,1995,7,20,7/20/1995,15:47:00,3,CO,8,44,0,0,0,0,0,39.72,-104.3,0,0,0.1,10,1,1,1,Adams,0,0,0,0
426,1996,6,22,6/22/1996,15:10:00,3,CO,8,26,0,0,0,0,0,40,-104.97,40,-104.97,0.1,50,1,1,1,Adams,0,0,0,0
532,1996,7,9,7/9/1996,15:08:00,3,CO,8,33,0,0,0,0,0,39.93,-104.57,39.93,-104.57,0.1,50,1,1,1,Adams,0,0,0,0
533,1996,7,9,7/9/1996,15:08:00,3,CO,8,34,0,0,0,0,0,39.93,-104.57,39.93,-104.57,0.1,50,1,1,1,Adams,0,0,0,0
534,1996,7,9,7/9/1996,15:15:00,3,CO,8,35,0,0,0,0,0,39.92,-104.67,39.92,-104.67,0.1,50,1,1,1,Adams,0,0,0,0
536,1996,7,9,7/9/1996,15:35:00,3,CO,8,37,0,0,0,0,0,39.8,-104.57,39.8,-104.57,0.1,50,1,1,1,Adams,0,0,0,0
537,1996,7,9,7/9/1996,15:35:00,3,CO,8,38,0,0,0,0,0,39.8,-104.57,39.8,-104.57,0.1,50,1,1,1,Adams,0,0,0,0
542,1996,7,13,7/13/1996,22:45:00,3,CO,8,45,2,0,0,0.22,0,39.8,-104.4,39.65,-104.22,12,440,1,1,1,Adams,0,0,0,0
543,1996,7,13,7/13/1996,22:55:00,3,CO,8,46,1,0,0,0,0,39.72,-104.3,39.72,-104.3,2,100,1,1,1,Adams,0,0,0,0
553,1996,7,28,7/28/1996,18:00:00,3,CO,8,57,0,0,0,0,0,39.72,-104.25,39.72,-104.25,0.1,50,1,1,1,Adams,0,0,0,0
554,1996,7,28,7/28/1996,18:08:00,3,CO,8,58,0,0,0,0,0,39.95,-104.52,39.95,-104.52,0.1,50,1,1,1,Adams,0,0,0,0
555,1996,7,28,7/28/1996,18:08:00,3,CO,8,59,0,0,0,0,0,39.9,-104.43,39.82,-104.43,5,440,1,1,1,Adams,0,0,0,0
556,1996,7,28,7/28/1996,18:14:00,3,CO,8,60,0,0,0,0,0,39.92,-104.43,39.92,-104.43,0.1,50,1,1,1,Adams,0,0,0,0
559,1996,7,28,7/28/1996,18:22:00,3,CO,8,62,0,0,0,0,0,39.95,-104.68,39.95,-104.68,0.1,50,1,1,1,Adams,0,0,0,0
565,1996,7,31,7/31/1996,21:35:00,3,CO,8,74,0,0,0,0,0,39.87,-104.43,39.87,-104.43,1,440,1,1,1,Adams,0,0,0,0
566,1996,7,31,7/31/1996,21:45:00,3,CO,8,75,0,0,0,0,0,39.72,-104.3,39.72,-104.3,0.5,50,1,1,1,Adams,0,0,0,0
689,1996,8,9,8/9/1996,15:50:00,3,CO,8,84,0,0,0,0,0,39.85,-104.63,39.85,-104.63,0.1,50,1,1,1,Adams,0,0,0,0
695,1996,8,29,8/29/1996,15:06:00,3,CO,8,90,0,0,0,0,0,39.75,-104.3,39.75,-104.3,0.1,50,1,1,1,Adams,0,0,0,0
1056,1997,6,22,6/22/1997,17:10:00,3,CO,8,20,1,0,0,0,0,39.93,-104.88,39.93,-104.88,0.1,50,1,1,1,Adams,0,0,0,0
514,1997,6,23,6/23/1997,18:57:00,3,CO,8,22,0,0,0,0,0,39.72,-104.2,39.72,-104.2,0.1,50,1,1,1,Adams,0,0,0,0
526,1998,7,2,7/2/1998,18:10:00,3,CO,8,18,0,0,0,0,0,39.93,-104.75,39.93,-104.75,0.1,30,1,1,1,Adams,0,0,0,0
936,1998,8,9,8/9/1998,15:48:00,3,CO,8,35,0,0,0,0,0,39.9,-104.43,39.9,-104.43,0.1,30,1,1,1,Adams,0,0,0,0
1031,2000,7,10,7/10/2000,20:38:00,3,CO,8,40,0,0,0,0,0,40,-104.77,40,-104.77,0.1,20,1,1,1,Adams,0,0,0,0
875,2001,5,28,5/28/2001,17:26:00,3,CO,8,28,0,0,0,0,0,39.78,-104.43,39.78,-104.43,0.1,25,1,1,1,Adams,0,0,0,0
233,2001,6,4,6/4/2001,16:40:00,3,CO,8,26,1,0,0,0,0,39.75,-103.8,39.75,-103.8,0.2,100,1,1,1,Adams,0,0,0,0
950,2001,6,20,6/20/2001,19:16:00,3,CO,8,33,0,0,0,0,0,39.98,-104.8,39.98,-104.8,0.1,25,1,1,1,Adams,0,0,0,0
951,2001,6,20,6/20/2001,19:25:00,3,CO,8,36,0,0,0,0,0,39.98,-104.67,39.98,-104.67,0.1,25,1,1,1,Adams,0,0,0,0
418,2001,7,26,7/26/2001,14:15:00,3,CO,8,10,0,0,0,0,0,39.75,-104.02,39.75,-104.02,0.1,50,1,1,1,Adams,0,0,0,0
1089,2001,8,2,8/2/2001,15:16:00,3,CO,8,18,0,0,0,0,0,39.75,-104.48,39.75,-104.48,0.1,25,1,1,1,Adams,0,0,0,0
1090,2001,8,2,8/2/2001,15:26:00,3,CO,8,20,0,0,0,0,0,39.75,-104.43,39.75,-104.43,0.1,25,1,1,1,Adams,0,0,0,0
225,2002,7,23,7/23/2002,15:40:00,3,CO,8,8,0,0,0,0,0,39.92,-104.53,39.92,-104.53,0.1,50,1,1,1,Adams,0,0,0,0
49,2003,3,17,3/17/2003,15:43:00,3,CO,8,1,0,0,0,0,0,39.77,-104.23,39.77,-104.23,0.1,50,1,1,1,Adams,0,0,0,0
370,2003,5,7,5/7/2003,14:30:00,3,CO,8,5,0,0,0,0,0,39.75,-104.28,39.75,-104.28,0.1,50,1,1,1,Adams,0,0,0,0
1117,2003,5,8,5/8/2003,11:10:00,3,CO,8,6,0,0,0,0,0,39.97,-104.78,39.97,-104.78,0.1,50,1,1,1,Adams,0,0,0,0
1118,2003,5,8,5/8/2003,11:17:00,3,CO,8,7,0,0,0,0,0,39.83,-104.6,39.83,-104.6,0.1,50,1,1,1,Adams,0,0,0,0
1120,2003,5,8,5/8/2003,12:13:00,3,CO,8,9,0,0,0,0,0,39.73,-104.3,39.73,-104.3,0.1,50,1,1,1,Adams,0,0,0,0
1309,2003,6,6,6/6/2003,18:11:00,3,CO,8,21,0,0,0,0,0,39.72,-104.3,39.72,-104.3,0.1,50,1,1,1,Adams,0,0,0,0
1216,2004,6,9,6/9/2004,16:15:00,3,CO,8,20,0,0,0,0,0,39.82,-104.43,39.82,-104.43,0.1,50,1,1,1,Adams,0,0,0,0
1217,2004,6,9,6/9/2004,16:35:00,3,CO,8,21,0,0,0,0,0,39.87,-104.27,39.87,-104.27,0.1,50,1,1,1,Adams,0,0,0,0
1218,2004,6,9,6/9/2004,17:16:00,3,CO,8,22,0,0,0,0,0,39.97,-103.77,39.97,-103.77,0.1,50,1,1,1,Adams,0,0,0,0
1223,2004,6,15,6/15/2004,15:35:00,3,CO,8,29,0,0,0,0,0,39.72,-104.27,39.73,-104.27,0.2,50,1,1,1,Adams,0,0,0,0
1224,2004,6,15,6/15/2004,15:50:00,3,CO,8,30,0,0,0,0,0,39.95,-104.17,39.95,-104.17,0.1,50,1,1,1,Adams,0,0,0,0
1504,2004,10,4,10/4/2004,15:55:00,3,CO,8,72,0,0,0,0,0,39.95,-104.73,39.95,-104.73,0.1,50,1,1,1,Adams,0,0,0,0
1505,2004,10,4,10/4/2004,16:02:00,3,CO,8,73,0,0,0,0,0,39.95,-104.78,39.95,-104.78,0.1,50,1,1,1,Adams,0,0,0,0
1496,2004,10,4,10/4/2004,16:13:00,3,CO,8,74,1,0,0,0,0,39.92,-104.78,39.92,-104.78,0.1,50,1,1,1,Adams,0,0,0,0
1497,2004,10,4,10/4/2004,16:25:00,3,CO,8,75,0,0,0,0,0,40.02,-104.82,40.02,-104.82,0.1,50,1,1,1,Adams,0,0,0,0
1498,2004,10,4,10/4/2004,16:28:00,3,CO,8,76,0,0,0,0,0,40.05,-104.73,40.05,-104.73,0.1,50,1,1,1,Adams,0,0,0,0
953,2005,6,2,6/2/2005,15:53:00,3,CO,8,14,0,0,0,0,0,39.98,-104.13,39.98,-104.13,0.1,50,1,1,1,Adams,0,0,0,0
292,2005,7,8,7/8/2005,15:57:00,3,CO,8,29,0,0,0,0,0,39.97,-104.82,39.97,-104.82,0.1,50,1,1,1,Adams,0,0,0,0
814,2006,8,20,8/20/2006,18:41:00,3,CO,8,17,0,0,0,0,0,39.8,-104.5,39.8,-104.5,0.1,50,1,1,1,Adams,0,0,0,0
815,2006,8,20,8/20/2006,18:50:00,3,CO,8,18,0,0,0,0,0,39.75,-104.52,39.75,-104.52,0.1,50,1,1,1,Adams,0,0,0,0
1041,2008,6,4,6/4/2008,15:04:00,3,CO,8,0,0,0,0,0,0,39.99,-104.07,0,0,0.1,50,1,1,1,Adams,0,0,0,0
1270,2008,6,20,6/20/2008,18:30:00,3,CO,8,0,0,0,0,0,0,39.85,-103.95,0,0,0.1,50,1,1,1,Adams,0,0,0,0
571,2009,5,24,5/24/2009,14:12:00,3,CO,8,0,0,0,0,0,0,39.83,-104.9,39.83,-104.9,0.1,50,1,1,1,Adams,0,0,0,0
619,2009,6,7,6/7/2009,13:05:00,3,CO,8,0,0,0,0,0.025,0,39.9867,-105.003,39.9794,-105.008,0.56,50,1,1,1,Adams,0,0,0,0
832,2009,6,26,6/26/2009,16:00:00,3,CO,8,0,0,0,0,0,0,39.86,-104.3,39.86,-104.3,0.1,50,1,1,1,Adams,0,0,0,0
96,2010,4,22,4/22/2010,15:38:00,3,CO,8,17,0,0,0,0,0,39.9,-104.08,39.9,-104.08,0.1,50,1,1,1,Adams,0,0,0,0
313410,2011,5,30,5/30/2011,15:04:00,3,CO,8,7,0,0,0,0,0,39.93,-104.19,39.93,-104.19,0.1,50,1,1,1,Adams,0,0,0,0
388160,2012,6,15,6/15/2012,14:56:00,3,CO,8,0,0,0,0,0,0,39.77,-104.42,39.77,-104.42,0.1,50,1,1,1,Adams,0,0,0,0
407315,2012,9,27,9/27/2012,15:28:00,3,CO,8,0,0,0,0,0,0,39.74,-104.22,39.74,-104.22,0.1,50,1,1,1,Adams,0,0,0,0
515645,2014,5,21,5/21/2014,14:30:00,3,CO,8,0,0,0,0,0,0,39.7607,-104.81,39.7607,-104.81,0.1,50,1,1,1,Adams,0,0,0,0
515644,2014,5,21,5/21/2014,14:45:00,3,CO,8,0,0,0,0,0,0,39.75,-104.6,39.75,-104.6,0.1,50,1,1,1,Adams,0,0,0,0
515652,2014,5,21,5/21/2014,17:06:00,3,CO,8,0,0,0,0,0,0,39.87,-104.04,39.87,-104.04,0.1,50,1,1,1,Adams,0,0,0,0
511127,2014,6,4,6/4/2014,16:01:00,3,CO,8,0,0,0,0,0,0,39.76,-104.4,39.76,-104.4,0.1,50,1,1,1,Adams,0,0,0,0
525887,2014,6,21,6/21/2014,14:36:00,3,CO,8,0,1,0,0,0,0,40,-104.64,40,-104.64,0.25,100,1,1,1,Adams,0,0,0,0
525883,2014,6,21,6/21/2014,14:42:00,3,CO,8,0,0,0,0,0,0,39.8,-104.59,39.8,-104.59,0.1,50,1,1,1,Adams,0,0,0,0
525884,2014,6,21,6/21/2014,15:11:00,3,CO,8,0,0,0,0,0,0,39.8,-104.42,39.8,-104.42,0.1,50,1,1,1,Adams,0,0,0,0
531642,2014,7,28,7/28/2014,16:09:00,3,CO,8,0,0,0,0,0,0,39.83,-104.79,39.83,-104.79,0.1,50,1,1,1,Adams,0,0,0,0
538218,2014,8,6,8/6/2014,18:10:00,3,CO,8,0,0,0,0,0,0,39.76,-104.42,39.76,-104.42,0.1,50,1,1,1,Adams,0,0,0,0
566215,2015,5,15,5/15/2015,14:03:00,3,CO,8,0,0,0,0,0,0,40,-104.14,40,-104.14,0.1,50,1,1,1,Adams,0,0,0,0
566223,2015,5,15,5/15/2015,14:51:00,3,CO,8,0,1,0,0,0.015,0,39.9,-104.3,39.9,-104.3,0.1,100,1,1,1,Adams,0,0,0,0
